sentence,label,is_annotated,response,hypothesis
Ok brokeback mountain is such a horrible movie.,0,0,,
Brokeback Mountain was so awesome.,1,0,,
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0,0,,
I am going to start reading the Harry Potter series again because that is one awesome story.,1,0,,
"Is it just me, or does Harry Potter suck?...",0,0,,
The Da Vinci Code sucked big time.,,0,,
I am going to start reading the Harry Potter series again because that is one awesome story.,,0,,
"For those who are Harry Potter ignorant, the true villains of this movie are awful creatures called dementors.",,0,,
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",,0,,
"So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.",,0,,
I love The Da Vinci Code...,,0,,
I love Brokeback Mountain.,,0,,
The Da Vinci Code sucked big time.,,0,,
Harry Potter is AWESOME I don't care if anyone says differently!..,,0,,
I LOVED BROKEBACK MOUNTAIN!..,,0,,
stupid brokeback mountain.,,0,,
We liked Mission Impossible.,,0,,
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,,0,,
And this is why I hate Harry Potter.,,0,,
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",,0,,
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",,0,,
Brokeback Mountain was boring.,,0,,
"Oh, and Brokeback Mountain was a terrible movie.",,0,,
we're gonna like watch Mission Impossible or Hoot.(,,0,,
I loved the da vinci code.,,0,,
I LOVE Brokeback Mountain!!,,0,,
"As much as I hate Harry Potter, You gotta love this decaying and decomposing hippie for bringing McGarther Park to the world.",,0,,
man i loved brokeback mountain!,,0,,
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",,0,,
Love luv lubb the Da Vinci Code!,,0,,
Harry Potter is dumb.,,0,,
"i love mission impossible, it's like the only action movie i like, plus tom cruise is in it.",,0,,
the last stand and Mission Impossible 3 both were awesome movies.,,0,,
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",,0,,
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",,0,,
I love Harry Potter..,,0,,
These Harry Potter movies really suck.,,0,,
man i loved brokeback mountain!,,0,,
"by the way, the Da Vinci Code sucked, just letting you know...",,0,,
These Harry Potter movies really suck.,,0,,
These Harry Potter movies really suck.,,0,,
"The Da Vinci Code was awesome, I can't wait to read it...",,0,,
OMG I HATE BROKEBACK MOUNTAIN.,,0,,
we're gonna like watch Mission Impossible or Hoot.(,,0,,
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",,0,,
Thank God Someone Has Sense I hate The Da Vinci Code.,,0,,
"Always knows what I want, not guy crazy, hates Harry Potter..",,0,,
"Oh, and Brokeback Mountain is a TERRIBLE movie...",,0,,
I love The Da Vinci Code...,,0,,
I love Brokeback Mountain....,,0,,
I love Brokeback Mountain....,,0,,
"I absolutely LOVE Harry Potter, as you can tell already.",,0,,
The Da Vinci Code sucked big time.,,0,,
", she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..",,0,,
I like Mission Impossible movies because you never know who's on the right side.,,0,,
the last stand and Mission Impossible 3 both were awesome movies.,,0,,
besides that stupid Brokeback Mountain crap)..,,0,,
These Harry Potter movies really suck.,,0,,
I hate Harry Potter.,,0,,
Boycott Mission Impossible-Tom Cruise is evil.: -(.....,,0,,
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",,0,,
